ID,Name,Released Date,"Saturation Time Metadata
(Top-Performing five Models: Performance and Rankings) ",top5_models_extracted,top model 1,top model 2,top model 3,top model 4,top model 5,num_top_models_extracted,Mean (top-5 models),Std Dev (top-5 models),Range of scores (s_max - s_min; top-5 models),SE_delta,R_norm,Saturation Index,Saturation Index (interpreted) ,Recent Models Evaluated (Yes / No),Time since benchmark release (in months),SOTA Performance at release,Dataset-related issues,"Dataset-related Issues Sources
(Followup papers and other sources describing these issues)",Task Input,Task Output Format,Dataset curation tags,Dataset curation notes,Languages included,Quantity of test samples,Quantity of test samples Notes,Paper Citations,Publically v/s Privately available,Publically v/s Privately available Notes,Literal diversity,Literal diversity Notes,"Identifying which prompts/questions are ""solved"" by numerous models vs those that are consistently hard for different models Notes",Metric,Metric Notes,5th Highest-Performing Model Release Date,5th Highest-Performing Model Release Source
23,Global MMLU,12/5/2024,"Gemini-2.5-Pro: 94.8
Grok-4-0709: 91.1
Gemini-2.5-Flash:  90.6
Gemini-2.5-Flash-Preview-05-20: 90.5
Gpt-5-2025-08-07: 89.7
source (recently updated): https://www.kaggle.com/benchmarks/cohere-labs/global-mmlu-lite",Gemini-2.5-Pro: 94.8; Grok-4-0709: 91.1; Gemini-2.5-Flash: 90.6; Gemini-2.5-Flash-Preview-05-20: 90.5; Gpt-5-2025-08-07: 89.7,94.8,91.1,90.6,90.5,89.7,5,91.34,1.79,5.1,0.01351493199,3.773603895,0.0000006540471754,Very low,Yes,12,(Gpt 4o),No known issues,Unrelated but Contamination is possible:  https://arxiv.org/abs/2406.13236       ,QA /MCQ,MCQ,"Expert human created, crowdsourced human created",Annotate Subset of english MMLU ,42 languages,"601,734",https://huggingface.co/datasets/CohereLabs/Global-MMLU,63,Public,,No,,,Accuracy,,2025-08-07,https://platform.openai.com/docs/changelog
24,MGSM (Multilingual Grade School Math (MGSM) benchmark),10/7/2022,"Claude Opus 4.1: 94.4%
Claude Sonnet 4.5: 94.3%
Claude Opus 4: 93.8%
o4 Mini: 93.4%
Claude Sonnet 4: 93.0%
Claude Sonnet 3.7: 93.0%
GPT 5: 92.8%

https://www.vals.ai/benchmarks/mgsm",Claude Opus 4.1: 94.4; Claude Sonnet 4.5: 94.3; Claude Opus 4: 93.8; o4 Mini: 93.4; Claude Sonnet 4: 93.0,94.4,94.3,93.8,93.4,93,5,93.78,0.53,1.4,0.04742874,0.2951796843,0.9165569766,Very high,Yes,38,55 (PaLM),"No known issues, Other data-related issues","Translational errors:  https://arxiv.org/abs/2511.05162   


Could not verify ""3%"" number from the original comment, but based on the code from the paper: https://arxiv.org/pdf/2502.03461, around 8.3% (110 questions) were removed from original GSM*K dataset for mislabeled or ambiguous questions. Platinum-benchmark repo: https://huggingface.co/datasets/madrylab/gsm8k-platinum

Original: [At least 3% of questions were found to have issues for regular GSM8k: https://gradientscience.org/gsm8k-platinum/?utm_source=chatgpt.com]

",Instruction/Open Ended,"Free-form, MCQ",crowdsourced human created,Used paid professional translators to translate 250 selected English questions from GSM8K.,11 languages,"2,750",,467,Public,,No,,,Accuracy,,2025-05-14,https://platform.claude.com/docs/en/about-claude/models/overview
25,Multilingual Competition Level Math (MCLM),2/25/2025,"Best I could find is an LLM eval on one task: MT-AIME:

Qwen3-235B: 80.8
Gemini-2.5 Pro: 76.9
DeepSeek r1: 73.5
OpenAI o1: 67.4

Qwen3 technical report: https://arxiv.org/abs/2505.09388",Qwen3-235B: 80.8; Gemini-2.5 Pro: 76.9; DeepSeek r1: 73.5; OpenAI o1: 67.4,80.8,76.9,73.5,67.4,67.4,5,73.2,5.27,13.4,0.06361547,2.106405936,0.01183201879,Low,Yes,10,52.58 (o3-mini),No known issues,N/A,"QA /MCQ, Instruction/Open Ended",Free-form,"crowdsourced human created, LLM generated",LLM translation and then verified by humans,49 languages,"8,580","156 * 55
https://huggingface.co/datasets/amphora/MCLM",9,Public,,No,,,Accuracy,,2025-04-28,https://platform.openai.com/docs/deprecations
26,"SIB-200: A Simple, Inclusive, and Big Evaluation Dataset for Topic Classification in 200+ Languages and Dialects ",9/15/2023,"Fully Supervised: 
XLM-R: 75.9
XLM-R (base): 71.0
Glot-500: 64.2
MLP: 62.8

Zero-Shot Prompt:
GPT-3.5-Turbo: 43.3
GPT-4: 48.7

LLMs (based on token prob):
Llama 3 8B: 63.69
Llama 3.1 8B: 61.42
Gemma 7B: 58.21

Paper: https://arxiv.org/pdf/2309.07445
Third party paper: https://arxiv.org/pdf/2409.17892",XLM-R: 75.9; XLM-R: 71.0; Glot-500: 64.2; MLP: 62.8; GPT-3.5-Turbo: 43.3,75.9,71,64.2,62.8,43.3,5,63.44,11.13,32.6,0.04577137,7.122355882,0,Very low,No,27,75.9 (XLM-R),,Prompting variability: https://arxiv.org/pdf/2311.07978,QA /MCQ,Free-form,Expert human created,"based on Flores-200 (sentences from sources such as wikipedia, translated by professional human translators),  four annotators who are native speak-
ers of English to label 2,009 to the 14 categories, final label assigned by majority voting",200 languages,"41,820","train: 701 dev: 99 test :204
204 * 205
https://huggingface.co/datasets/Davlan/sib200",98,Public,,No,,,Accuracy,,2024-02-01,https://platform.openai.com/docs/changelog
27,MMLU-Indic,10/22/2024,"Sarvam-M (24B): 0.79
Llama 4 Scout (17B/109B): 0.77
Gemma 3 (27B): 0.75
Llama 3.3 (70B): 0.74
Mistral Small (24B): 0.64
(Native, non-romanized sciprt evals)",Sarvam-M: 79.0; Llama 4 Scout: 77.0; Gemma 3: 75.0; Llama 3.3: 74.0; Mistral Small: 64.0,79,77,75,74,64,5,73.8,5.19,15,0.02698189996,5.559282342,0,Very low,Yes,14,79.0 (Sarvam-M (24B)),"Noisy data, Mislabeling, Biases, Other data-related issues","Cross lingual contamination is possible: https://arxiv.org/abs/2406.13236            

Likely carries most of the Issues as MMLU, i.e. Contamination, Mislabeling, Noisy data (see above), see also for example: IndicMMLU-Pro , 

in addition automatic translation introduces cultural + linguistic bias: https://arxiv.org/pdf/2412.03304

Some additonal choice/answer labelling issues: https://huggingface.co/datasets/sarvamai/mmlu-indic/discussions/1",QA /MCQ,MCQ,Expert human created,Original data collected and annotated by humans; then automatically translated into indic languages using their translation and transliteration models.,"Bengali, Kannada, Telugu, Tamil, Oriya, Punjabi, Malayalam, Marathi, Hindi, Gujarati","296,318",https://huggingface.co/datasets/sarvamai/mmlu-indic,N/A (blog post),Public,,No,"[unless high-school book test should be considered ""templated""/not diverse]",,Accuracy,,2024-02-26,https://legal.mistral.ai/ai-governance/models/mistral-small-1
28,GSM8k-Indic ,5/23/2025,"Sarvam-M (24B): 0.92
Gemma 3 (27B): 0.89
Llama 3.3 (70B): 0.86
Llama 4 Scout (17B/109B): 0.83
Mistral Small (24B): 0.82
(Native, non-romanized sciprt evals)
",Sarvam-M: 92.0; Gemma 3: 89.0; Llama 3.3: 86.0; Llama 4 Scout: 83.0; Mistral Small: 82.0,92,89,86,83,82,5,86.4,3.72,10,0.03646618,2.742266943,0.00054212,Very low,Yes,7,92.0 (Sarvam-M (24B)),"Contamination, Mislabeling","Likely same issues as GSM8k: potential contamination
label noise
https://gradientscience.org/gsm8k-platinum/

in addition automatic translation introduces cultural + linguistic bias: https://arxiv.org/pdf/2412.03304",Instruction/Open Ended,Free-form,Expert human created,"From general GSM8K: ""Couldn't find exact info.; OpenAI authors probably curated it based on textbooks + human annotations""

 then automatically translated into indic languages using their translation and transliteration models.","Bengali, Kannada, Telugu, Tamil, Oriya, Punjabi, Malayalam, Marathi, Hindi, Gujarati","27,670",https://huggingface.co/datasets/sarvamai/gsm8k-indic,N/A (blog post),Public,,No,"[unless high-school book test should be considered ""templated""/not diverse]",,Accuracy,,2024-02-26,https://legal.mistral.ai/ai-governance/models/mistral-small-1
29,HEAD-QA: A Healthcare Dataset for Complex Reasoning,6/12/2019,"There seem to be new data in the MedHELM leaderboard (https://crfm.stanford.edu/helm/medhelm/latest/#/leaderboard):

Claude 3.7 Sonnet (20250219): 0.912
Claude 3.5 Sonnet (20241022): 0.906
GPT-4o (2024-05-13): 0.906
o3-mini (2025-01-31): 0.893
Gemini 2.0 Flash: 0.88
","Claude 3.7 Sonnet (20250219): 91.2; Claude 3.5 Sonnet (20241022): 90.6; GPT-4o (2024-05-13): 90.6; o3-mini (2025-01-31): 89.3; Gemini 2.0 Flash: 88
",91.2,90.6,90.6,89.3,88,5,89.94,1.15,3.2,0.05957601,0.5371289345,0.7493811906,High,No,78,37.20 (EN IR),Noisy data,"[Not followup, but from paper itself - Possible errors as they used Google API (2019) for ES-EN translation of medical exams + relied on PDF-to-text conversions + questions included formulae. This is acknowledged in the paper. On the translation side, human evaluation on translation quality showed reasonable adequacy (4.35 or 4.71/5) and fluency (4/5).]",QA /MCQ,MCQ,Expert human created,Exams from the Spanish healthcare system (specialized position in public healthcare areas) from 2013 to 2019.,English; Spanish,"2,742",Divided into train-dev-test splits (2657 train - 1366 dev - 2742 test),101,Public,,No,,,Accuracy,"Also POINTS, used in the actual human exam scoring: (right answer +3 points, wrong answer -1)",2025-02-05,https://ai.google.dev/gemini-api/docs/changelog
30,BoolQ,5/28/2019,"T5-11B 91.2%
PaLM 2-L 90.9%
T5-3B 89.9%
Inflection-1 89.7%
Stable Beluga 2 89.4%

From : https://epoch.ai/benchmarks/bool-q",T5-11B: 91.2; PaLM 2-L: 90.9; T5-3B: 89.9; Inflection-1: 89.7; Stable Beluga 2: 89.4,91.2,90.9,89.9,89.7,89.4,5,90.22,0.7,1.8,0.05532315,0.3253610819,0.899550726,High,No,79,82.2 (Pretrained Bert large + Multi NLI ),No known issues,N/A,QA /MCQ,MCQ,crowdsourced human created,"Questions are gathered from anonymized, aggregated queries to the Google search engine. Annotators label question/article pairs.",English,"3,270","train.jsonl: 9427 labeled training examples
dev.jsonl: 3270 labeled development examples
test.jsonl: 3245 unlabeled test examples
https://github.com/google-research-datasets/boolean-questions",2076,Public,https://huggingface.co/datasets/google/boolq,No,,,Accuracy,,2023-07-20,https://huggingface.co/stabilityai/StableBeluga2
31,PIQA,11/27/2019,"GPT 4o mini 88.7 [From https://epoch.ai/benchmarks/piqa]
Phi-3.5-MoE 88.6 
Gemini 1.5 flash 87.5
GLM 4.5 85.3
Deepseek v3 base: 84.7
Gemma 2 83.5
",Phi-3.5-MoE: 88.6; Gemini 1.5 flash: 87.5; GLM 4.5: 85.3; Deepseek v3 base: 84.7; Gemma 2: 83.5,88.6,87.5,85.3,84.7,83.5,5,85.92,1.87,5.1,0.06602642,0.7724180702,0.5506644301,Moderate,Yes,73, 77.1 (FAIR RoBERTa),Contamination,https://arxiv.org/abs/2411.03923,QA /MCQ,MCQ,crowdsourced human created,human collection using HIT,English,"3,000","The dataset contains 16,000 examples for training, 2,000 for development and 3,000 for testing.",2397,Public,https://huggingface.co/datasets/ybisk/piqa,No,,,Accuracy,,2024-06-27,https://blog.google/innovation-and-ai/technology/developers-tools/google-gemma-2/
32,SocialIQa ,4/23/2019,"Some new numbers can be found in this paper: https://arxiv.org/abs/2312.17661v1

GPT-4 Turbo  (k-shot, CoT): 84.5
GPT-4 Turbo (0-shot, SP): 82.0
Gemini Pro (k-shot, CoT): 78.5
GPT-3.5 Turbo (k-shot, CoT): 78.0
Llama-2-70b  (k-shot, CoT): 77.5","GPT-4 Turbo (k-shot, CoT): 84.5; GPT-4 Turbo (0-shot, SP): 82.0; Gemini Pro (k-shot, CoT): 78.5; GPT-3.5 Turbo (k-shot, CoT): 78.0; Llama-2-70b  (k-shot, CoT): 77.5",84.5,82,78.5,78,77.5,5,80.1,2.71,7,0.08046653,0.8699269265,0.4691780911,Moderate,No,80,64.5 (BERT-large),"Noisy data, Mislabeling, Other data-related issues"," 28% of the items con-
tain data-related flaws: https://arxiv.org/abs/2506.23864 ",QA /MCQ,MCQ,crowdsourced human created,"Questions and answers are gathered through three
phases of crowdsourcing aimed to collect the context, the question, and a set of positive and negativeanswers.",English,"2,224","train 33,871
dev 5,369
test 5,571",1239,Public,https://huggingface.co/datasets/allenai/social_i_qa,No,,,Accuracy,,2023-07-18,https://arxiv.org/abs/2307.09288
33,OpenBookQA,9/10/2018,"Claude 3.5 Sonnet (20240620): 97.2
GPT-4 Turbo (2024-04-09): 97
GPT-4o (2024-08-06): 96.8
Claude 3.5 Sonnet (20241022): 96.6
GPT-4o (2024-05-13): 96.6
Source: https://crfm.stanford.edu/helm/lite/latest/#/leaderboard",Claude 3.5 Sonnet: 97.2; GPT-4 Turbo: 97.0; GPT-4o: 96.8; Claude 3.5 Sonnet: 96.6; GPT-4o: 96.6,97.2,97,96.8,96.6,96.6,5,96.84,0.23,0.6,0.0518263,0.1157713473,0.9866864155,Very high,No,87,76.9 (BiLSTM max-out),"Biases, Contamination, Mislabeling","Biases: https://arxiv.org/abs/2505.15553, Contamination: https://hitz-zentroa.github.io/lm-contamination/, Mislabeling: https://arxiv.org/abs/2511.16842   ",QA /MCQ,MCQ,crowdsourced human created,Section 3 and 3.1 of paper (https://arxiv.org/pdf/1809.02789),English,500,"OpenBookQA consists of 5957 questions, with 4957/500/500 in the Train/Dev/Test splits.",2072,Public,,No,"Prompts are generated from WorldTree facts and simple logical rules, and are relatively short",,Accuracy,,2024-05-13,https://platform.openai.com/docs/changelog/released-gpt-4o
34,RACE,4/17/2017,"ALBERT-SingleChoice + transfer learning (ensemble): 91.4
Megatron-BERT (ensemble): 90.9
ALBERT-SingleChoice + transfer learning: 90.7
ALBERT + DUMA (ensemble): 89.8
Megatron-BERT: 89.5
Source: https://web.archive.org/web/20220128031551/http://www.qizhexie.com/data/RACE_leaderboard.html",ALBERT-SingleChoice + transfer learning: 91.4; Megatron-BERT: 90.9; ALBERT-SingleChoice + transfer learning: 90.7; ALBERT + DUMA: 89.8; Megatron-BERT: 89.5,91.4,90.9,90.7,89.8,89.5,5,90.46,0.71,1.9,0.04956718,0.3833181762,0.8633519718,High,No,104,44.1 (Gated-Attention Reader),"Biases, Contamination, Noisy data","Biases and noise: https://proceedings.mlr.press/v101/liang19a/liang19a.pdf (anecdotal evidence), https://arxiv.org/pdf/1704.04683 (some questions are ambiguous), Contamination:  https://arxiv.org/pdf/2005.14165 (Table C.1)",QA /MCQ,MCQ,"Expert human created, Programatically generated/Scraped",Section 4 of paper (https://arxiv.org/pdf/1704.04683),English,"4,934","87,866 - 4,887 - 4,934 - 97,687 in the Train - Dev - Test - All splits",1762,Public,,No,Prompts are from English examinations created by teachers in China ,,Accuracy,,2019-09-17,https://arxiv.org/abs/1909.08053
35,HumanEval,7/8/2021,"
Kimi K2 0905: 94.5
Claude 3.5 Sonnet: 93.7
GPT-5: 93.4
Kimi K2 Instruct: 93.3
Qwen2.5-Coder 32B Instruct: 92.7
Source: https://llm-stats.com/benchmarks/humaneval",Kimi K2 0905: 94.5; Claude 3.5 Sonnet: 93.7; GPT-5: 93.4; Kimi K2 Instruct: 93.3; Qwen2.5-Coder 32B Instruct: 92.7,94.5,93.7,93.4,93.3,92.7,5,93.52,0.59,1.8,0.09665807,0.186223453,0.9659152568,Very high,Yes,53,28.81 (CODEX-12B),"Contamination, Mislabeling","Contamination: https://aclanthology.org/2024.findings-acl.716/, mislabeling: https://arxiv.org/pdf/2305.01210 (insufficient testing), Ground truth issues: https://proceedings.neurips.cc/paper_files/paper/2023/file/43e9d647ccd3e4b7b5baab53f0368686-Paper-Conference.pdf  ",Coding,Free-form,Expert human created,set of 164 handwritten programming problems,"Python, English",164,,7330,Public,,No,,,pass$k,,2024-09-18,https://arxiv.org/abs/2409.12186
36,MBPP,8/17/2021,"O1 Preview (Sept 2024)         95.5
O1 Mini (Sept 2024) 93.1
Llama-3.3 Nemotron Super 49B v1 91.3
Qwen2.5-Coder-32B-Instruct 90.5
Gemini 1.5 Pro 002: 89.7
source: https://airank.dev/benchmarks/mbpp 
https://evalplus.github.io/leaderboard.html",O1 Preview: 95.5; O1 Mini: 93.1; Llama-3.3 Nemotron Super 49B v1: 91.3; Qwen2.5-Coder-32B-Instruct: 90.5; Gemini 1.5 Pro 002: 89.7,95.5,93.1,91.3,90.5,89.7,5,92.02,2.07,5.8,0.06585899,0.8806694575,0.4604372519,Moderate,Yes,52,59.6 (GPT 3),"Contamination, Other data-related issues","https://arxiv.org/abs/2403.04811
, https://arxiv.org/abs/2407.07565 ; ",Coding,Free-form,Expert human created,,"English, Python",974,,2706,Public,,No,,,pass$k,,2024-09-24,https://ai.google.dev/gemini-api/docs/changelog
37,DROP,3/4/2019,"Kimi k2 instruct : 93.5
DeepSeek-V3: 91.6
Claude 3.5 Sonnet: 87.1
GPT-4 Turbo: 86
Nova Pro: 85.4
Llama 3.1 405B Instruct: 84.8
source: https://llm-stats.com/benchmarks/drop",Kimi k2 instruct: 93.5; DeepSeek-V3: 91.6; Claude 3.5 Sonnet: 87.1; GPT-4 Turbo: 86.0; Nova Pro: 85.4,93.5,91.6,87.1,86,85.4,5,88.72,3.23,8.1,0.08745399,0.9262013156,0.4240733358,Moderate,Yes,81,44.1 (NAQANet),Contamination,"
https://huggingface.co/blog/open-llm-leaderboard-drop  (Normalization interrogations)
build on wiki data -- contamination",Instruction/Open Ended,Free-form,Expert human created,"In addition,
to further increase the difficulty of the questions
in DROP, we employed a novel adverserial anno-
tation setting, where workers were only allowed
to submit questions which a real-time QA model
BiDAF could not solve.",English,588,,1291,Public,,No,,,F1,exact match,2024-12-03,https://press.aboutamazon.com/2024/12/introducing-amazon-nova-a-new-generation-of-foundation-models
38,TriviaQA ,5/10/2017,"Kimi K2 Base 85.1
Gemma 2 27B 0.837
Mistral Small 3.1 24B Instruct: 80.5
Mistral Small 3.1 24B Base: 80.5
Mistral Small 3 24B Base: 80.3
source: https://airank.dev/benchmarks/triviaqa",Kimi K2 Base: 85.1; Gemma 2 27B: 83.7; Mistral Small 3.1 24B Instruct: 80.5; Mistral Small 3.1 24B Base: 80.5; Mistral Small 3 24B Base: 80.3,85.1,83.7,80.5,80.5,80.3,5,82.02,1.99,4.8,0.04575763137,1.049005347,0.3327338962,Moderate,Yes,103,40 (BiDAF ),Contamination,"build on wiki data -- contamination
https://arxiv.org/pdf/2312.12343v1",Instruction/Open Ended,Free-form,Expert human created,"we asked a human annotator to answer 986
and 1345 (dev and test set) questions from the
Wikipedia and Web domains respectively",English,"18,527",,3491,Public,,No,,,F1,exact match,2025-01-30,https://legal.mistral.ai/ai-governance/models/mistral-small-3
39,Natural Questions,7/1/2019,"HELM Lite (https://crfm.stanford.edu/helm/lite/latest/#/leaderboard):

Amazon Nova Pro: 0.829
Amazon Nova Lite: 0.815
PaLM-2 (Bison): 0.813
GPT-4o (2024-05-13): 0.803
GPT-4 Turbo (2024-04-09): 0.795",Amazon Nova Pro: 82.9; Amazon Nova Lite: 81.5; PaLM-2 (Bison): 81.3; GPT-4o (2024-05-13): 80.3; GPT-4 Turbo (2024-04-09): 79.5,82.9,81.5,81.3,80.3,79.5,5,81.1,1.15,3.4,0.05866158,0.57959572,0.7146722739,High,No,78, 72.34 (CoRAG),Mislabeling,"Section 4 (""Long/short answers have 90%/84% precision respectively""), Contamination: https://arxiv.org/pdf/2411.03923",QA /MCQ,Free-form,crowdsourced human created,Annotators used a flowchart (Figure 2) to filter actual questions submitted to Google Search,English,"7,842","The public
release consists of 307,373 training examples
with single annotations; 7,830 examples with
5-way annotations for development data; and
a further 7,842 examples with 5-way annotated sequestered as test data. ",4401,Public,,No,,,F1,,2024-04-09,https://platform.openai.com/docs/changelog
40,LAMBADA,6/21/2016,"PaLM-540B (Few-Shot) 89.7
PaLM 2-L (one-shot) 86.9
GPT-3 175B (Few-Shot) 86.4
PaLM 2-M (one-shot) 83.7
PaLM-540B (One-Shot) 81.8
source: https://opencodepapers-b7572d.gitlab.io/benchmarks/language-modelling-on-lambada.html",PaLM-540B: 89.7; PaLM 2-L: 86.9; GPT-3 175B: 86.4; PaLM 2-M: 83.7; PaLM-540B: 81.8,89.7,86.9,86.4,83.7,81.8,5,85.7,2.73,7.9,0.05797409,1.36267775,0.1561574242,Low,No,114,21.9 (LSTM),Contamination,Book Corpus,Instruction/Open Ended,Free-form,crowdsourced human created,Book Corpus with easy passages filtered out,English,"5,153","train: 2'662 novels
dev: 4'869 passages
test: 5'153 passages
https://huggingface.co/datasets/cimec/lambada",912,Public,,No,,,Accuracy,,2022-04-05,https://arxiv.org/abs/2204.02311
41,ANLI,11/1/2019,"A1:
T5-3B (explanation prompting) 81.8
T0-11B (explanation prompting) 75.6
InfoBERT (RoBERTa) 75
PaLM 2-L (one-shot) 73.1
RoBERTa (Large) 72.4

A2:
T5-3B (explanation prompting) 72.5
PaLM 540B (Self Improvement, Self Consistency) 66.5
PaLM 540B (Self Improvement, CoT Prompting) 65.3
PaLM 540B (Self Improvement, Standard-Prompting) 64.8
PaLM 540B (Self Consistency) 64.5

A3:
T5-3B (explanation prompting) 74.8
PaLM 540B (Self Improvement, Self Consistency) 67.9
PaLM 540B (Self Improvement, CoT Prompting) 67.3
PaLM 2-L (one-shot) 67.1
PaLM 540B (Self Improvement, Standard-Prompting) 66.9

Source: https://huggingface.co/datasets/pwc-archive/files/blob/main/jul-28-datasets.json.gz",T5-3B: 81.8; T0-11B: 75.6; InfoBERT: 75.0; PaLM 2-L: 73.1; RoBERTa: 72.4,81.8,75.6,75,73.1,72.4,5,75.58,3.33,9.4,0.07851244,1.197262485,0.2384877202,Low,No,74,53.7 (RoBERTa),,Texts written by human writers - https://aclanthology.org/2022.scil-1.3.pdf - maybe worth seeing this paper ,QA /MCQ,,crowdsourced human created,,English,"3,200","Train / Dev / Test
162,865 / 3,200 / 3,200",1242,Public,,No,,,Accuracy,,2019-07-26,https://arxiv.org/abs/1907.11692
42,Tydiqa,3/11/2020,"TuLRv6 - XXL: 84.6
BLOOMA: 75.2
gpt-4-32k: 71.5
Phi-3.5-MoE-instruct: 67.1
Phi-3.5-mini-instruct: 62.2
RoBERTa (Large): 72.4
sources: 
https://aclanthology.org/2023.emnlp-main.258.pdf
https://llm-stats.com/benchmarks/mega-tydi-qa
tps://techcommunity.microsoft.com/blog/azure-ai-foundry-blog/discover-the-new-multi-lingual-high-quality-phi-3-5-slms/4225280",TuLRv6 - XXL: 84.6; BLOOMA: 75.2; gpt-4-32k: 71.5; Phi-3.5-MoE-instruct: 67.1; Phi-3.5-mini-instruct: 62.2,84.6,75.2,71.5,67.1,62.2,5,72.12,7.61,22.4,0.05165688,4.336305339,0.000000006819061429,Very low,No,69,"79.0 (mBERT)
",Contamination,"""TyDiQA-GoldP for which the valida-
tion data that we use for evaluation is also likely to
be included in the fine-tuning data""

source: https://aclanthology.org/2023.emnlp-main.258.pdf",QA (MCQ),Free-form,crowdsourced human created,"Human annotators are given short prompts consisting of the first 100 characters of Wikipedia articles and asked to write questions that (a) they are actually interested in knowing the answer to, and (b) that are not answered by the prompt.","English, Arabic, Bengali, Finnish, Indonesian, Japanese, Kiswahili, Korean, Russian, Telugu, Thai","18,751",,740,Public,,No,,,F1,,2025-08-19,https://arxiv.org/abs/2508.13524
43,CommonsenseQA,11/5/2018,"DeBERTaV3-large+KEAR 91.2
Palm 2 90.4
Mistral NeMo Instruct: 70.4
GPT: 45.5
ESIM+ELMo: 34.1
ESIM+GLoVe: 32.8
BiDAF++: 32

source: 
https://llm-stats.com/benchmarks/commonsenseqa
https://aclanthology.org/N19-1421.pdf
(Original leaderboard not available)",DeBERTaV3-large+KEAR: 91.2; Palm 2: 90.4; Mistral NeMo Instruct: 70.4; GPT: 45.5; ESIM+ELMo: 34.1,91.2,90.4,70.4,45.5,34.1,5,66.32,23.18,57.1,0.05249582,10.87705733,0,Very low,No,85,55.9 (BERT-Large),Other data-related issues,Non commonsense qs: https://arxiv.org/pdf/2411.03964,QA (MCQ),MCQ,"crowdsourced human created, Programatically generated/Scraped","Using subgraphs from ConceptNet, the paper extracts 1 source and 3 target concepts. MT workers use the source and target sets to formulate three questions related to the target concept. Then, workers add ""distractor"" target concepts to increase task difficulty. After verifying the questions with from a disjoint group of workers, the paper adds textual context using Google Search.",English,"12,247",,2300,Public,"Dataset available on HF: 
https://huggingface.co/datasets/tau/commonsense_qa",Yes,"Although human annotators are used to formulate text questions, the question concepts are derived from ConceptNet which has ""relation"" between source and target concepts.",,Accuracy,,2018-02-15,https://arxiv.org/abs/1802.05365
44,Belebele,7/25/2024,"cogito-v1-preview-qwen-14B: 88.4
gemma-3-12b-it,bos: 88.2
Qwen3-14B: 87.39
gemma-2-9b-it: 87.31
GaMS3-12B-Instruct,bos: 86.29","cogito-v1-preview-qwen-14B: 88.4;
gemma-3-12b-it,bos: 88.2;
Qwen3-14B: 87.39;
gemma-2-9b-it: 87.31;
GaMS3-12B-Instruct,bos: 86.29",88.4,88.2,87.39,87.31,86.29,5,87.52,0.75,2.11,0.0258164,0.8173098033,0.5127354214,Moderate,Yes,17,60.2 (XLM-V),No known issues,,QA (MCQ),MCQ,"Expert human created, Programatically generated/Scraped","The translations (and proofreading) were done by experts, explicitly “without the use of machine translation.”

The passages come directly from FLORES-200, whose English source passages were collected from sources like Wikinews, Wikijunior, and Wikivoyage (i.e., scraped/collected from the web as part of that benchmark).",Multilingual,"109,800","900 question per lanugage (122 lanugages): 900 x 122 = 109,800",192,Public,,Yes,,,Accuracy,,2025-12-04,https://huggingface.co/cjvt/GaMS3-12B-Instruct
45,QuAC,8/23/2018,"1) CKT-QA 76.3
2) CDQ-DeBERTa 75.8
3) AERmodel 75.2
4) RoR 74.9
5) EL-QA 74.6",CKT-QA: 76.3; CDQ-DeBERTa: 75.8; AERmodel: 75.2; RoR: 74.9; EL-QA: 74.6,76.3,75.8,75.2,74.9,74.6,5,75.36,0.62,1.7,0.06571576,0.258689863,0.9352696035,Very high,No,88,60.1 (BiDAF++ w/ 2-Context),Contamination,"Built from “hidden Wikipedia text”, source text likely present in many pretraining corpora.",Instruction/Open Ended,Free-form,Expert human created,Two crowd workers (“student” asks; “teacher” answers with excerpts) over a hidden Wikipedia passage; includes unanswerable/context-dependent questions,English,"7,353","train: 83,568
dev: 7,354 
test: 7353",1083,Private,Train/val downloadable; test set not released (submission required for official test scoring),No,Natural freeform questions; not template-instantiated,"HEQ-D is far lower than F1 on leaderboard, many dialogs remain hard even when overall F1 is high","F1, Human Expert, Custom, Accuracy",Span-level scoring; HEQ metrics capture per-question/per-dialog “human equivalence” style thresholds,2020-09-03,https://quac.ai/
46,AGI Eval ,4/14/2023,"Kimi k2 - 84.23  
Olmo 3 - agi eval english - 88.8 
Deepseek v3 base - 79.6


(AGIEval-all, few-shot leaderboard)
1) GPT-4o 71.4
2) Llama 3 400B+ 69.9
3) Llama 3 70B 63.0
4) Mixtral 8x22B 61.2
5) GPT-3.5-Turbo 52.7",Olmo 3: 88.8; Kimi k2: 84.23; Deepseek v3 base: 79.6; GPT-4o: 71.4; Llama 3 400B+: 69.9,88.8,84.23,79.6,71.4,69.9,5,78.79,7.27,18.9,0.05874468182,3.217312515,0.00003195762281,Very low,Yes,32, 69 (GPT 4o),"Biases, Contamination","Contamination [table 4]: https://arxiv.org/pdf/2508.05452  , Derived from official, public standardized exams (US/China etc.), high likelihood of exposure in web text / prep materials; cultural/exam-region bias inherent in sources",QA (MCQ),MCQ,"Expert human created, Programatically generated/Scraped",Exam questions are created by exam setters (expert); benchmark compiled from official/public exam sources and organized into 20 tasks; bilingual,"English, Chinese","8,062","As a result, we construct a benchmark consisting of 8,062 questions for evaluation",655,Public,,No,"Real exam questions, not template-generated",Paper highlights gaps on “complex reasoning” and domain-specific knowledge tasks even for GPT-4,Accuracy,Typically aggregated over tasks; many results reported under zero-/few-shot and CoT prompting settings,2024-07-31,https://arxiv.org/abs/2407.21783
